student_id,date_watched
255193,2021-12-01
255194,2021-12-01
255198,2022-02-17
255199,2021-12-01
255200,2021-12-01
255201,2021-12-02
255201,2021-12-06
255201,2021-12-08
255201,2022-10-05
255202,2021-12-01
255203,2022-03-08
255203,2022-03-17
255203,2022-03-23
255203,2021-12-01
255203,2022-01-25
255203,2022-01-26
255203,2022-01-27
255203,2022-02-08
255203,2022-02-09
255203,2022-02-21
255203,2022-02-22
255203,2022-02-23
255204,2021-12-01
255204,2021-12-02
255204,2021-12-03
255204,2021-12-14
255204,2021-12-17
255204,2021-12-07
255204,2021-12-05
255204,2021-12-09
255204,2021-12-23
255204,2022-01-11
255204,2022-01-18
255204,2022-03-05
255204,2022-06-19
255204,2022-07-06
255204,2021-12-04
255204,2021-12-18
255204,2021-12-20
255204,2021-12-29
255204,2022-03-28
255204,2022-03-31
255204,2022-07-17
255204,2022-07-21
255204,2022-07-31
255204,2021-12-12
255204,2021-12-13
255204,2021-12-21
255204,2021-12-27
255204,2022-01-07
255204,2021-12-08
255204,2022-01-27
255205,2021-12-01
255205,2021-12-02
255205,2021-12-07
255205,2022-01-22
255205,2022-04-05
255206,2022-07-18
255206,2022-06-23
255206,2021-12-01
255207,2021-12-01
255207,2021-12-17
255207,2022-01-05
255207,2022-01-07
255207,2022-01-23
255207,2022-01-24
255207,2022-01-28
255207,2022-02-09
255207,2022-04-27
255207,2022-04-28
255207,2022-05-04
255207,2022-05-10
255207,2022-05-11
255207,2022-05-12
255207,2022-05-17
255207,2022-05-18
255207,2022-05-19
255207,2022-06-23
255207,2022-06-28
255207,2022-07-28
255207,2022-07-29
255209,2021-12-01
255209,2021-12-02
255209,2021-12-06
255211,2021-12-02
255211,2021-12-03
255215,2021-12-30
255215,2022-01-05
255218,2021-12-01
255218,2021-12-02
255218,2021-12-03
255218,2021-12-06
255218,2021-12-07
255218,2021-12-21
255220,2022-09-12
255220,2022-09-13
255220,2022-09-30
255220,2022-10-02
255220,2022-10-03
255220,2022-10-18
255220,2022-10-27
255220,2022-10-29
255220,2022-10-30
255220,2022-01-25
255220,2022-01-26
255220,2022-01-29
